PriceArea,HourUTC,SpotPriceDKK,SpotPriceEUR,transform_date
DE,2024-01-01 08:00:00.000000 UTC,0.3,0.04,2025-10-16
DK1,2024-01-01 08:00:00.000000 UTC,0.6,0.08,2025-10-16
DE,2024-01-01 09:00:00.000000 UTC,0.45,0.06,2025-10-16
SE3,2024-01-01 09:00:00.000000 UTC,308.179993,41.34,2025-10-16
DK1,2024-01-01 09:00:00.000000 UTC,308.179993,41.34,2025-10-16
DK2,2024-01-01 09:00:00.000000 UTC,308.179993,41.34,2025-10-16
SE4,2024-01-01 09:00:00.000000 UTC,308.179993,41.34,2025-10-16
SYSTEM,2024-01-01 09:00:00.000000 UTC,314.070007,42.130001,2025-10-16
NO2,2024-01-01 09:00:00.000000 UTC,355.670013,47.709999,2025-10-16
DE,2024-01-01 10:00:00.000000 UTC,4.03,0.54,2025-10-16
DK2,2024-01-01 10:00:00.000000 UTC,324.359985,43.509998,2025-10-16
SE3,2024-01-01 10:00:00.000000 UTC,324.359985,43.509998,2025-10-16
SE4,2024-01-01 10:00:00.000000 UTC,324.359985,43.509998,2025-10-16
DK1,2024-01-01 10:00:00.000000 UTC,324.359985,43.509998,2025-10-16
SYSTEM,2024-01-01 10:00:00.000000 UTC,333.679993,44.759998,2025-10-16
NO2,2024-01-01 10:00:00.000000 UTC,391.450012,52.509998,2025-10-16
DE,2024-01-01 11:00:00.000000 UTC,16.700001,2.24,2025-10-16
SE3,2024-01-01 11:00:00.000000 UTC,320.700012,43.02,2025-10-16
DK2,2024-01-01 11:00:00.000000 UTC,320.700012,43.02,2025-10-16
SE4,2024-01-01 11:00:00.000000 UTC,320.700012,43.02,2025-10-16
DK1,2024-01-01 11:00:00.000000 UTC,320.700012,43.02,2025-10-16
SYSTEM,2024-01-01 11:00:00.000000 UTC,335.609985,45.02,2025-10-16
NO2,2024-01-01 11:00:00.000000 UTC,421.720001,56.57,2025-10-16
DE,2024-01-01 12:00:00.000000 UTC,14.61,1.96,2025-10-16
SE4,2024-01-01 12:00:00.000000 UTC,330.170013,44.290001,2025-10-16
DK1,2024-01-01 12:00:00.000000 UTC,330.170013,44.290001,2025-10-16
DK2,2024-01-01 12:00:00.000000 UTC,330.170013,44.290001,2025-10-16
SE3,2024-01-01 12:00:00.000000 UTC,330.170013,44.290001,2025-10-16
SYSTEM,2024-01-01 12:00:00.000000 UTC,356.709991,47.849998,2025-10-16
NO2,2024-01-01 12:00:00.000000 UTC,445.940002,59.82,2025-10-16
DE,2024-01-01 13:00:00.000000 UTC,7.75,1.04,2025-10-16
DK2,2024-01-01 13:00:00.000000 UTC,344.709991,46.240002,2025-10-16
SE3,2024-01-01 13:00:00.000000 UTC,344.709991,46.240002,2025-10-16
SE4,2024-01-01 13:00:00.000000 UTC,344.709991,46.240002,2025-10-16
DK1,2024-01-01 13:00:00.000000 UTC,344.709991,46.240002,2025-10-16
SYSTEM,2024-01-01 13:00:00.000000 UTC,391.899994,52.57,2025-10-16
